Alloy,Finish,Length_m,Weight_kg_m,Profile_Name,Tolerances,GD_T,Order_Quantity,LME_Price_EUR,Customer_Category,Lead_Time_weeks,Quote_Price_SEK,Quote_Date
Zinc,Powder coated,30.3,1.28,Anslagslist,0.132,medium,35352,4.02,small,2.0,4.11,2025-08-02
Iron,phosphated,32.7,1.363,Ytterram,0.066,low,76677,3.32,micro,10.0,3.38,2025-03-06
Nickel,anodized,18.8,0.877,Glasningslist,0.057,high,121617,3.05,small,5.0,2.58,2025-08-09
Iron,phosphated,32.3,0.949,Fönsterbleck,0.148,medium,100138,3.8,small,3.0,2.96,2025-11-04
Zinc,wet painted,36.8,1.346,Ramlist,0.13,high,100119,3.63,large,9.0,2.96,2025-10-13
Iron,wet painted,19.9,1.15,Z-profil,0.062,low,145989,3.96,micro,3.0,2.15,2025-07-04
Aluminium,plasma sprayed,21.2,1.501,Glaskil,0.055,medium,140403,3.65,medium,6.0,2.25,2025-07-26
Nickel,electroplated,38.2,1.431,Doldbeslag,0.198,high,47920,2.94,large,12.0,3.89,2025-04-09
Nickel,wet painted,19.9,1.607,Avvattningsprofil,0.055,medium,62761,4.03,small,7.0,3.62,2025-08-30
Zinc,Powder coated,35.5,1.468,Bottenlist,0.117,medium,53050,2.72,micro,12.0,3.8,2025-06-07
Aluminium,phosphated,27.1,1.229,Mittpost,0.126,medium,130726,2.98,medium,9.0,2.42,2025-04-08
Copper,phosphated,21.4,1.45,Doldbeslag,0.068,high,121019,3.38,medium,12.0,2.59,2025-02-11
Iron,plasma sprayed,35.9,1.088,Ramlist,0.075,low,41772,3.45,small,2.0,4.0,2025-05-19
Titanium,hot-dip galvanized,26.0,1.116,Pärlspont,0.103,medium,101563,2.57,medium,2.0,2.94,2025-10-10
Iron,hot-dip galvanized,27.6,1.556,Hakprofilslist,0.164,low,144336,3.79,medium,5.0,2.18,2025-08-15
Iron,anodized,24.0,1.244,Kantskydd,0.126,low,89902,3.12,micro,,3.14,2025-03-13
Copper,plasma sprayed,29.4,1.564,Hakprofilslist,0.146,high,57823,3.2,large,10.0,3.71,2025-08-31
Iron,blackening,19.5,1.586,Täckprofil,0.198,high,63066,3.84,micro,12.0,3.62,2025-01-18
Aluminium,anodized,24.8,1.618,Hakprofil,0.165,low,135562,3.15,large,8.0,2.34,2025-03-18
Aluminium,blackening,38.2,1.672,Täckprofil,0.115,medium,98360,2.63,large,8.0,2.99,2025-02-14
Nickel,hot-dip galvanized,21.7,1.23,Skarvprofil,0.117,high,41379,2.83,large,,4.0,2025-12-09
Zinc,plasma sprayed,30.9,1.128,Glasningslist,0.143,medium,40699,4.07,medium,6.0,4.01,2025-05-20
Titanium,blackening,23.3,1.367,Kantprofil,0.15,medium,93026,2.66,micro,6.0,3.09,2025-06-26
Iron,plasma sprayed,33.6,1.175,Tätningslist,0.125,medium,125206,3.11,medium,2.0,2.52,2025-08-10
Iron,plasma sprayed,18.8,1.385,J-profil,0.147,low,48832,3.35,small,,3.87,2025-04-02
Copper,hot-dip galvanized,38.2,1.48,Skruvkanal,0.054,medium,154989,3.33,micro,7.0,1.99,2025-01-22
Zinc,anodized,26.2,1.464,H-profil,0.114,low,114657,2.56,large,10.0,2.71,2025-06-21
Aluminium,anodized,21.2,1.178,U-profil,0.092,low,75462,3.35,medium,4.0,3.4,2025-04-02
Titanium,plasma sprayed,17.4,0.989,L-profil,0.069,medium,36049,3.16,medium,6.0,4.1,2025-07-11
Nickel,wet painted,19.7,1.229,Skruvkanal,0.065,medium,43653,4.1,micro,3.0,3.96,2025-03-18
Aluminium,electroplated,27.8,0.967,Bottenlist,0.14,medium,144613,2.8,micro,11.0,2.18,2025-10-08
Zinc,hot-dip galvanized,23.5,1.648,Glaskil,0.129,medium,60777,3.11,large,6.0,3.66,2025-12-30
Nickel,electroplated,34.9,1.152,Ventilationslister,0.088,low,56870,3.22,large,9.0,3.73,2025-06-28
Copper,electroplated,25.7,0.978,Z-profil,0.121,medium,118673,3.17,small,12.0,2.64,2025-08-26
Copper,anodized,21.5,0.86,J-profil,0.124,medium,43737,3.61,large,3.0,3.96,2025-05-15
Iron,anodized,30.0,1.425,Rörprofil,0.079,low,70404,2.89,medium,9.0,3.49,2025-12-31
Zinc,wet painted,32.1,1.417,Ramlist,0.148,high,95670,2.9,small,5.0,3.04,2025-10-07
Titanium,electroplated,19.6,1.147,Z-profil,0.167,high,36851,3.71,small,11.0,4.08,2025-01-19
Nickel,electroplated,19.6,0.903,Kopplingsprofil,0.169,low,100659,3.35,small,,2.95,2025-03-24
Aluminium,plasma sprayed,16.6,1.21,Fönsterbleck,0.14,high,87180,3.21,micro,2.0,3.19,2025-08-16
Zinc,anodized,32.8,1.121,Sidoprofil,0.127,low,45216,2.82,large,6.0,3.93,2025-09-22
Zinc,electroplated,31.1,1.454,Ventilationslister,0.059,medium,158450,2.85,small,2.0,1.93,2025-04-22
Copper,phosphated,26.7,1.389,Vinkellist,0.093,medium,113003,2.57,micro,8.0,2.74,2025-09-08
Iron,wet painted,35.3,1.169,Innerbåge,0.064,high,73745,2.7,micro,9.0,3.43,2025-06-13
Iron,blackening,34.4,1.036,Doldbeslag,0.195,medium,79936,3.44,small,4.0,3.32,2025-12-24
Nickel,phosphated,29.3,1.737,Skenprofil,0.07,high,106227,3.97,small,4.0,2.86,2025-06-17
Copper,phosphated,35.8,1.251,H-profil,0.073,high,110494,3.01,medium,8.0,2.78,2025-08-09
Zinc,blackening,20.5,1.464,Glashållare,0.183,medium,61985,3.07,small,5.0,3.64,2025-10-31
Titanium,hot-dip galvanized,18.3,0.965,Distansprofil,0.192,medium,83434,2.73,medium,4.0,3.26,2025-07-10
Copper,hot-dip galvanized,22.0,1.28,Vinkellist,0.165,high,121216,3.17,small,9.0,2.59,2025-11-21
Nickel,wet painted,17.0,0.862,Hakprofil,0.051,medium,140267,2.61,small,4.0,2.25,2025-06-19
Nickel,phosphated,28.0,1.298,Clipsprofil,0.05,low,126755,4.01,large,8.0,2.49,2025-02-14
Copper,electroplated,37.4,1.715,Hakprofilslist,0.107,medium,160063,3.62,small,3.0,1.9,2025-01-14
Nickel,anodized,16.6,1.187,Stödprofil,0.072,medium,100147,4.13,small,12.0,2.96,2025-08-19
Copper,wet painted,18.6,0.873,Z-profil,0.053,low,72293,3.95,medium,12.0,3.46,2025-06-06
Aluminium,plasma sprayed,26.2,0.865,Ventilationslister,0.12,medium,76633,3.3,medium,2.0,3.38,2025-05-14
Copper,blackening,37.3,1.191,Z-profil,0.191,medium,140874,3.38,large,7.0,2.24,2025-02-06
Copper,phosphated,23.0,0.983,Baslister,0.099,high,91165,2.85,small,9.0,3.12,2025-02-22
Nickel,wet painted,27.5,0.859,Hakprofilslist,0.149,medium,111396,3.28,small,2.0,2.76,2025-01-18
Nickel,Powder coated,16.7,1.526,Glashållare,0.148,medium,82056,3.99,medium,11.0,3.28,2025-02-07
Iron,Powder coated,19.2,1.255,Kilspår,0.088,low,155163,2.63,micro,10.0,1.99,2025-07-06
Iron,hot-dip galvanized,38.6,1.101,Isolerprofil,0.148,high,93492,3.92,micro,4.0,3.08,2025-07-15
Aluminium,blackening,38.1,1.657,J-profil,0.082,high,92986,3.09,micro,4.0,3.09,2025-08-31
Iron,anodized,15.8,0.943,Täckprofil,0.068,high,81033,3.98,medium,5.0,3.3,2025-10-27
Copper,electroplated,37.8,1.708,Droppnäsa,0.155,medium,136389,4.05,medium,12.0,2.32,2025-10-30
Nickel,anodized,30.5,1.123,T-profil,0.067,high,58293,3.62,micro,2.0,3.7,2025-02-04
Iron,anodized,35.8,1.646,Fönsterbleck,0.2,low,62792,3.61,micro,10.0,3.62,2025-08-03
Iron,anodized,26.2,1.386,Kantskydd,0.078,high,53281,3.27,small,12.0,3.79,2025-08-07
Aluminium,blackening,27.7,1.59,Vinkellist,0.139,low,56443,3.88,medium,4.0,3.74,2025-11-12
Zinc,anodized,27.0,1.733,Karmprofil,0.112,high,109903,4.08,medium,11.0,2.79,2025-03-31
Aluminium,plasma sprayed,31.2,1.1,Kantskydd,0.069,high,121752,3.78,micro,5.0,2.58,2025-11-04
Copper,blackening,19.0,1.713,Anslagslist,0.054,low,92577,3.54,micro,2.0,3.1,2025-09-09
Nickel,plasma sprayed,16.4,1.192,Kantskydd,0.143,high,139344,3.51,large,5.0,2.27,2025-01-08
Aluminium,blackening,22.9,1.188,Mittpost,0.171,high,144257,3.9,medium,2.0,2.18,2025-09-13
Iron,hot-dip galvanized,32.0,1.147,Tätningslist,0.176,high,82290,3.41,large,6.0,3.28,2025-12-29
Nickel,wet painted,20.4,1.33,Kilspår,0.122,medium,160706,3.83,small,6.0,1.89,2025-07-27
Nickel,Powder coated,31.3,0.978,Sidoprofil,0.167,low,95188,3.36,large,12.0,3.05,2025-05-11
Iron,anodized,38.2,1.342,Glasningslist,0.151,high,101651,2.65,micro,8.0,2.94,2025-08-12
Aluminium,hot-dip galvanized,17.9,1.331,Glasningslist,0.159,low,129672,3.16,medium,9.0,2.44,2025-07-16
Iron,wet painted,31.3,1.531,Doldbeslag,0.124,low,82299,3.26,medium,,3.28,2025-05-22
Zinc,Powder coated,26.0,1.596,Bottenlist,0.145,low,135313,2.78,large,8.0,2.34,2025-09-09
Nickel,phosphated,35.8,1.238,L-profil,0.171,high,135111,2.71,large,5.0,2.34,2025-04-06
Titanium,electroplated,19.8,1.113,L-profil,0.11,high,137179,3.4,small,4.0,2.31,2025-01-26
Titanium,plasma sprayed,31.8,1.073,Anslagslist,0.171,low,102609,2.69,small,7.0,2.92,2025-04-21
Copper,phosphated,35.1,1.015,Spröjsprofil,0.139,medium,44746,3.03,micro,5.0,3.94,2025-05-03
Iron,blackening,37.6,5.166144,Clipsprofil,0.075,low,63033,3.73,micro,4.0,3.62,2025-07-05
Iron,Powder coated,31.5,1.149,Tätningslist,0.054,medium,151456,4.08,micro,10.0,2.06,2025-06-17
Copper,phosphated,27.2,1.083,Ramlist,0.104,low,108300,3.69,large,6.0,2.82,2025-02-20
Copper,electroplated,30.0,1.717,Kilspår,0.132,low,80932,4.13,large,8.0,3.3,2025-01-05
Copper,hot-dip galvanized,35.8,1.345,Glashållare,0.176,low,53876,3.66,medium,7.0,3.78,2025-03-18
Nickel,Powder coated,28.9,1.154,T-profil,0.069,high,35620,3.02,micro,11.0,4.1,2025-06-09
Zinc,phosphated,16.4,1.366,Bottenlist,0.17,medium,43050,3.62,large,6.0,3.97,2025-07-27
Iron,plasma sprayed,37.3,0.964,Hörnvinkel,0.179,medium,135302,3.67,medium,8.0,2.34,2025-09-14
Nickel,plasma sprayed,31.7,1.242,Anslagslist,0.073,low,85763,3.14,micro,,3.22,2025-07-24
Copper,wet painted,31.4,1.408,T-profil,0.178,high,58872,2.58,small,7.0,3.69,2025-09-12
Iron,phosphated,20.7,1.283,Kilspår,0.199,high,150661,3.67,small,11.0,2.07,2025-01-11
Nickel,anodized,31.0,1.203,Avvattningsprofil,0.159,medium,50248,2.58,large,3.0,3.85,2025-01-08
Zinc,phosphated,24.8,1.742,H-profil,0.168,high,159198,3.55,medium,4.0,1.92,2025-02-01
Nickel,hot-dip galvanized,30.8,1.639,Glaskil,0.199,medium,148828,2.81,small,3.0,2.1,2025-01-28
Zinc,Powder coated,18.2,1.405,Korsprofil,0.141,medium,71126,3.45,medium,4.0,3.48,2025-07-25
Copper,Powder coated,31.0,1.356,Ytterram,0.096,medium,121351,3.35,medium,2.0,2.59,2025-08-16
Zinc,hot-dip galvanized,38.9,1.403,Täckprofil,0.176,high,60167,2.57,small,9.0,3.67,2025-05-08
Iron,phosphated,16.8,1.021,Korsprofil,0.142,medium,92531,3.13,medium,7.0,3.1,2025-09-12
Copper,hot-dip galvanized,38.3,1.197,Täckprofil,0.137,medium,98562,3.51,small,3.0,2.99,2025-07-31
Iron,electroplated,25.1,0.873,L-profil,0.088,low,123656,3.9,large,9.0,2.55,2025-08-27
Titanium,blackening,35.9,1.27,Karmlist,0.163,medium,158640,3.96,micro,7.0,1.93,2025-07-26
Aluminium,hot-dip galvanized,33.8,1.332,L-profil,0.062,medium,104533,3.32,micro,8.0,2.89,2025-11-14
Zinc,plasma sprayed,28.8,1.045,Doldbeslag,0.189,low,76978,3.71,large,12.0,3.37,2025-10-10
Aluminium,hot-dip galvanized,32.8,1.715,H-profil,0.099,low,139861,3.05,small,2.0,2.26,2025-09-02
Aluminium,Powder coated,36.1,1.666,Z-profil,0.069,high,45263,3.09,small,8.0,3.93,2025-02-14
Zinc,plasma sprayed,25.1,1.495,Droppnäsa,0.116,medium,96660,2.86,small,4.0,3.02,2025-04-15
Copper,Powder coated,23.3,1.323,Foglist,0.056,high,81734,3.44,small,12.0,3.29,2025-12-14
Titanium,wet painted,31.2,1.63,Mittpost,0.153,high,98917,3.05,large,9.0,2.98,2025-10-08
Iron,anodized,34.4,0.956,U-profil,0.185,low,52569,2.68,micro,7.0,3.8,2025-08-22
Nickel,Powder coated,33.4,1.557,Distansprofil,0.176,high,149869,3.64,medium,5.0,2.08,2025-07-08
Iron,plasma sprayed,34.2,0.951,Stödprofil,0.069,medium,108612,3.68,medium,12.0,2.81,2025-02-13
Nickel,wet painted,25.8,1.561,Karmprofil,0.069,low,129652,3.12,micro,9.0,2.44,2025-08-13
Iron,Powder coated,34.7,1.088,Spröjsprofil,0.172,medium,112032,2.67,large,,2.75,2025-05-22
Zinc,electroplated,18.5,1.636,Skenprofil,0.189,medium,149958,3.23,medium,11.0,2.08,2025-05-16
Titanium,hot-dip galvanized,28.3,1.697,Ramlist,0.119,low,139948,3.25,micro,3.0,2.26,2025-06-25
Nickel,anodized,15.9,0.973,Ramlist,0.125,medium,113794,3.61,large,7.0,2.72,2025-05-22
Copper,Powder coated,23.2,1.259,Kantprofil,0.098,low,121205,3.05,medium,6.0,2.59,2025-03-21
Iron,wet painted,24.2,1.731,H-profil,0.184,medium,109525,3.64,small,6.0,2.8,2025-03-23
Iron,electroplated,24.9,5.166144,Isolerprofil,0.147,low,115167,3.94,small,,2.7,2025-05-15
Nickel,phosphated,31.8,1.624,Baslister,0.093,high,69828,2.93,large,12.0,3.5,2025-07-26
Copper,wet painted,24.7,1.373,Ändprofil,0.095,medium,156897,4.11,small,4.0,1.96,2025-12-10
Copper,hot-dip galvanized,26.1,1.179,Pärlspont,0.184,low,111272,3.16,large,9.0,2.77,2025-06-26
Zinc,wet painted,21.2,1.098,Vinkellist,0.052,medium,97902,2.97,micro,9.0,3.0,2025-08-31
Zinc,electroplated,24.4,1.022,Pärlspont,0.098,medium,128561,3.22,micro,6.0,2.46,2025-02-24
Zinc,wet painted,21.0,1.531,Anslagslist,0.133,medium,123048,2.7,medium,9.0,2.56,2025-05-21
Zinc,electroplated,17.4,1.189,F-profil,0.072,low,155493,2.75,large,11.0,1.98,2025-02-25
Zinc,Powder coated,29.7,1.303,Z-profil,0.064,high,158577,3.21,medium,9.0,1.93,2025-01-15
Zinc,blackening,31.2,1.286,Sidoprofil,0.172,high,65632,3.76,medium,4.0,3.57,2025-07-04
Titanium,electroplated,30.1,1.363,Karmlist,0.184,high,156781,3.98,micro,3.0,1.96,2025-11-10
Copper,electroplated,26.5,1.626,Vinkellist,0.174,low,123237,3.61,medium,10.0,2.55,2025-03-29
Zinc,anodized,24.5,1.73,Karmprofil,0.185,high,111229,2.72,small,3.0,2.77,2025-04-07
Copper,electroplated,35.7,1.208,Baslister,0.133,low,101506,3.62,medium,10.0,2.94,2025-05-24
Copper,electroplated,27.7,1.591,Droppnäsa,0.172,medium,123437,3.56,large,5.0,2.55,2025-01-08
Aluminium,phosphated,26.8,1.534,H-profil,0.108,medium,34551,3.83,small,3.0,4.12,2025-08-03
Titanium,blackening,16.3,1.36,Distansprofil,0.15,high,78017,3.86,micro,,3.35,2025-06-22
Zinc,Powder coated,23.6,1.708,Ramlist,0.198,low,131408,3.93,large,2.0,2.41,2025-08-11
Iron,hot-dip galvanized,24.5,1.02,Fönsterbåge,0.084,medium,59327,3.21,small,5.0,3.69,2025-02-09
Nickel,anodized,25.0,0.937,Foglist,0.108,low,129682,3.66,large,,2.44,2025-07-01
Iron,phosphated,29.2,1.615,Hörnvinkel,0.122,low,118851,2.98,small,10.0,2.63,2025-09-27
Titanium,plasma sprayed,28.1,1.237,Innerbåge,0.071,medium,41883,4.14,large,5.0,3.99,2025-07-06
Nickel,blackening,29.8,1.609,Baslister,0.062,low,82687,2.83,large,10.0,3.27,2025-09-02
Titanium,Powder coated,33.4,1.651,Kopplingsprofil,0.174,medium,55404,2.57,small,7.0,3.75,2025-11-05
Copper,Powder coated,34.5,0.894,Foglist,0.197,medium,44524,2.79,micro,2.0,3.95,2025-08-19
Nickel,plasma sprayed,32.3,1.642,Glasningslist,0.111,medium,92924,3.78,micro,11.0,3.09,2025-06-04
Copper,hot-dip galvanized,37.8,1.246,Hakprofilslist,0.063,low,88358,3.26,large,7.0,3.17,2025-06-24
Iron,electroplated,16.1,1.302,Stödprofil,0.06,medium,136620,3.26,large,10.0,2.32,2025-12-02
Iron,phosphated,20.3,1.408,Glasningslist,0.184,low,128672,4.07,micro,3.0,2.46,2025-04-25
Nickel,wet painted,15.9,1.681,Mittpost,0.12,medium,61599,4.01,micro,7.0,3.64,2025-11-07
Nickel,anodized,30.7,0.855,Korsprofil,0.098,medium,110872,3.04,medium,3.0,2.77,2025-10-27
Zinc,wet painted,36.5,1.272,Avvattningsprofil,0.121,high,117769,2.88,micro,5.0,2.65,2025-01-18
Titanium,plasma sprayed,21.4,1.464,Bottenlist,0.098,high,110228,3.9,large,9.0,2.78,2025-09-29
Zinc,Powder coated,37.2,1.495,Sidoprofil,0.123,high,105774,3.99,small,8.0,2.86,2025-01-12
Titanium,hot-dip galvanized,17.1,1.468,Tätningslist,0.179,low,36441,3.41,micro,12.0,4.09,2025-10-28
Zinc,Powder coated,37.4,0.96,F-profil,0.139,low,55650,3.55,medium,10.0,3.75,2025-07-11
Copper,anodized,23.9,1.11,Korsprofil,0.154,medium,107382,2.96,medium,8.0,2.84,2025-08-20
Nickel,Powder coated,18.1,1.164,Innerbåge,0.105,medium,103171,3.82,medium,2.0,2.91,2025-04-03
Iron,Powder coated,27.0,1.57,U-profil,0.161,medium,37377,3.56,small,3.0,4.07,2025-08-06
Titanium,anodized,21.7,1.091,Pärlspont,0.15,medium,78315,3.35,micro,7.0,3.35,2025-10-05
Titanium,phosphated,22.3,1.029,Täckprofil,0.068,low,103447,2.65,micro,8.0,2.9,2025-12-19
Iron,phosphated,22.8,1.709,Skruvkanal,0.136,medium,91480,4.01,micro,4.0,3.12,2025-10-30
Zinc,anodized,34.3,0.845,J-profil,0.089,medium,73157,3.53,small,10.0,3.44,2025-01-29
Titanium,hot-dip galvanized,28.2,1.746,U-profil,0.171,high,133496,2.86,small,8.0,2.37,2025-10-28
Copper,plasma sprayed,22.9,1.454,H-profil,0.114,medium,92140,3.51,large,7.0,3.1,2025-03-18
Nickel,blackening,29.9,1.592,Spröjsprofil,0.199,medium,157763,3.63,medium,7.0,1.94,2025-01-09
Iron,Powder coated,32.3,1.106,Täckprofil,0.064,medium,92202,3.39,medium,2.0,3.1,2025-01-24
Nickel,hot-dip galvanized,22.0,0.85,Doldbeslag,0.167,low,37877,3.69,micro,6.0,4.06,2025-01-15
Titanium,Powder coated,25.3,1.509,L-profil,0.151,high,52302,3.47,small,11.0,3.81,2025-06-13
Titanium,blackening,18.5,1.597,Distansprofil,0.165,medium,83011,4.06,small,4.0,3.27,2025-01-13
Iron,plasma sprayed,19.9,1.512,J-profil,0.096,medium,71751,2.64,micro,8.0,3.47,2025-12-13
Copper,phosphated,31.5,0.967,Ramlist,0.124,high,132111,2.72,micro,11.0,2.4,2025-06-21
Aluminium,hot-dip galvanized,19.9,5.166144,Kilspår,0.169,medium,81403,2.83,large,,3.29,2025-12-23
Iron,electroplated,27.9,1.538,Mittpost,0.085,low,60947,3.65,medium,6.0,3.66,2025-11-23
Aluminium,electroplated,32.1,1.437,Glaskil,0.084,medium,67131,3.58,medium,8.0,3.55,2025-07-19
Zinc,blackening,18.2,5.166144,Distansprofil,0.133,low,150630,3.97,medium,4.0,2.07,2025-03-17
Aluminium,electroplated,28.9,1.608,Tätningslist,0.129,low,132604,3.72,large,11.0,2.39,2025-06-13
Copper,phosphated,21.7,1.396,Droppnäsa,0.092,medium,128798,3.36,micro,3.0,2.46,2025-03-02
Zinc,blackening,38.0,0.918,Tätningslist,0.095,high,146170,4.13,micro,,2.15,2025-09-02
Aluminium,phosphated,26.9,1.281,Kantprofil,0.092,low,127419,2.97,medium,9.0,2.48,2025-06-04
Zinc,plasma sprayed,34.4,0.908,Innerbåge,0.166,high,99130,3.87,medium,5.0,2.98,2025-09-14
Aluminium,Powder coated,28.5,1.208,Distansprofil,0.148,medium,112932,3.23,large,10.0,2.74,2025-09-01
Copper,plasma sprayed,16.7,1.208,Karmprofil,0.175,low,69133,3.58,small,9.0,3.51,2025-06-11
Aluminium,plasma sprayed,30.4,0.897,Isolerprofil,0.196,medium,144694,3.71,small,8.0,2.18,2025-03-09
Aluminium,phosphated,37.7,1.155,J-profil,0.121,high,125164,3.56,medium,8.0,2.52,2025-12-10
Aluminium,blackening,29.6,0.938,Skarvprofil,0.06,medium,56698,2.77,large,4.0,3.73,2025-10-04
Iron,blackening,34.7,1.573,Innerbåge,0.057,medium,156933,3.25,medium,7.0,1.96,2025-06-10
Iron,electroplated,36.2,1.7,Hörnvinkel,0.094,low,93854,3.44,small,6.0,3.07,2025-09-16
Iron,wet painted,21.0,0.903,Glaskil,0.19,medium,83055,3.9,medium,2.0,3.27,2025-11-03
Copper,Powder coated,20.6,1.707,H-profil,0.128,medium,50006,3.26,small,12.0,3.85,2025-12-01
Zinc,phosphated,29.9,1.313,Fönsterbleck,0.091,medium,54640,4.01,small,4.0,3.77,2025-04-05
Titanium,electroplated,25.2,1.11,H-profil,0.11,low,97294,3.25,small,2.0,3.01,2025-09-03
Aluminium,hot-dip galvanized,35.2,0.907,Ramlist,0.14,high,96184,3.42,micro,5.0,3.03,2025-08-09
Aluminium,wet painted,36.6,1.293,Skruvkanal,0.148,high,116661,3.82,micro,11.0,2.67,2025-05-03
Copper,wet painted,23.9,1.561,Distansprofil,0.073,medium,49782,3.48,medium,4.0,3.85,2025-07-06
Aluminium,phosphated,21.2,1.481,Täckprofil,0.197,low,86525,4.08,small,12.0,3.2,2025-09-19
Iron,anodized,33.8,0.883,Kilspår,0.132,medium,91149,3.6,micro,5.0,3.12,2025-09-30
